Reporting Date,Furnace,cast,coke_rate_day,coke_rate_cum,productivity_day,productivity_cum,sinter_burden_day,sinter_burden_cum,temperature,Charge,Last-Si,Last-Mn,Last-S,PCI_day,PCI_cum,Coke_ratio_day,Coke_ratio_cum,Hot_metal_day,Hot_Metal_cum,Character Field Length = 10,PCI_day,PCI_cum,Sinter_day,sinter_cum,coke_day,coke_cum,nut_coke_day,nut_coke_cum,nut_coke_rate_day,nut_coke_rate_cum,Ironore_day,Ironore_cum,Sulpher_min,Sulpher_max,H2_top,O2,N2,SlagRate,Pellet_day,Pellet_cum,Pellet_rate_day,Pellet_rate_cum,scrap_day,scrap_cum,fuel_rate_day,fuel_rate_cum,o2_enrichment_day,o2_enrichment_cum,temp_day,temp_cum
4/4/2023,IV,3,575,556,0.506,1.160,73,73,757,59,0.890,0.030,0.045,66.94,82.04,,,732,6716,,49,551,969,8644,421,3733,22,201,30.05,29.93,366,3208,0.045,0.055,,1366,,394,0,0,0,0,0,0,,,,,,
4/4/2023,TOT,29,420,448,1.765,1.763,72,71,,338,,,,137.92,137.39,,,11311,44199,,1560,6210,14335,58537,4754,20253,435,1770,38.46,39.16,3687,16389,,,,,,,2014,7035,10,9,0,0,,,,,,
4/4/2023,V,15,392,413,2.406,2.133,71,70,1150,126,0.880,0.050,0.032,158.96,165.21,1.69,,8348,28605,,1327,4891,10500,38567,3273,12222,342,1278,40.97,43.17,2282,9123,0.030,0.057,,28858,,401,2014,7035,14,13,0,0,,,,,,
4/5/2023,I,9,572,500,1.306,1.452,74,74,1146,132,0.600,0.020,0.037,88.85,86.93,1.66,,1947,10825,,173,941,2499,13825,1114,5412,66,357,33.90,32.98,896,4954,0.034,0.050,,4064,,413,0,0,0,0,0,0,,,,,,
4/5/2023,IV,8,497,541,1.586,1.245,74,73,955,160,0.630,0.030,0.043,81.41,81.88,1.66,,2297,9013,,187,738,2750,11394,1142,4875,60,261,26.12,28.96,974,4182,0.038,0.048,,2095,,396,0,0,0,0,0,0,,,,,,
4/5/2023,TOT,31,428,444,1.944,1.799,71,71,,409,,,,128.17,135.40,,,12460,56658,,1597,7807,14650,73187,5329,25582,443,2213,35.55,38.38,3961,20350,,,,,,,2164,9199,10,9,0,0,,,,,,
4/5/2023,V,14,374,404,2.368,2.180,69,70,1151,117,0.920,0.060,0.025,150.56,162.03,1.57,,8216,36820,,1237,6128,9401,47968,3073,15295,317,1595,38.58,42.17,2091,11214,0.025,0.056,,21847,,397,2164,9199,16,13,0,0,,,,,,
4/6/2023,I,11,465,494,1.483,1.457,73,74,1154,150,0.720,0.030,0.040,97.69,88.75,1.46,,2211,13036,,216,1157,2832,16657,1029,6441,76,433,34.37,33.22,1027,5981,0.032,0.053,,4501,,401,0,0,0,0,0,0,,,,,,
4/6/2023,IV,9,529,539,1.501,1.288,74,73,978,161,0.720,0.030,0.045,90.62,83.58,1.42,,2174,11187,,197,935,2690,14084,1150,6025,59,320,27.14,28.60,941,5123,0.037,0.050,,2303,,402,0,0,0,0,0,0,,,,,,
4/6/2023,TOT,36,423,440,1.937,1.822,72,71,,428,,,,128.90,134.25,,,12413,69071,,1600,9407,15221,88408,5254,30836,452,2665,36.41,38.03,3982,24332,,,,,,,1938,11137,9,9,0,0,,,,,,
4/6/2023,V,16,383,401,2.314,2.202,71,70,1154,117,0.920,0.060,0.035,147.86,159.55,1.51,,8028,44848,,1187,7315,9699,57667,3075,18370,317,1912,39.49,41.70,2014,13228,0.023,0.041,,22814,,393,1938,11137,14,14,0,0,,,,,,
4/7/2023,I,11,474,491,1.457,1.457,72,73,1145,150,0.770,0.040,0.037,72.28,86.40,1.65,,2172,15208,,157,1314,2613,19270,1029,7470,72,505,33.15,33.21,1020,7001,0.033,0.049,,3124,,397,0,0,0,0,0,0,,,,,,
4/7/2023,IV,9,500,532,1.592,1.331,73,73,965,169,0.690,0.040,0.040,78.96,82.79,1.64,,2305,13492,,182,1117,2823,16907,1152,7177,72,392,31.24,29.05,1021,6144,0.033,0.050,,2474,,396,0,0,0,0,0,0,,,,,,
4/7/2023,TOT,34,422,437,2.016,1.850,71,71,,446,,,,123.30,132.54,,,12920,81991,,1593,11000,15998,104406,5452,36288,488,3153,37.77,37.99,4350,28682,,,,,,,2099,13236,9,9,0,0,,,,,,
4/7/2023,V,14,387,399,2.433,2.235,71,70,1150,127,0.520,0.030,0.058,148.53,157.83,1.54,,8443,53291,,1254,8569,10562,68229,3271,21641,344,2256,40.74,41.55,2309,15537,0.024,0.058,,27164,,413,2099,13236,14,14,0,0,,,,,,
4/8/2023,I,10,475,489,1.546,1.468,71,73,1129,163,0.880,0.040,0.046,64.21,83.48,1.45,,2305,17513,,148,1462,2941,22211,1094,8564,77,582,33.41,33.23,1191,8192,0.034,0.048,,3976,,398,0,0,0,0,0,0,,,,,,
4/8/2023,IV,8,483,525,1.579,1.362,74,73,970,166,0.710,0.040,0.042,94.49,84.48,1.52,,2286,15778,,216,1333,2797,19704,1103,8280,61,453,26.68,28.71,985,7129,0.035,0.048,,2675,,383,0,0,0,0,0,0,,,,,,
4/8/2023,TOT,32,410,434,1.993,1.868,71,71,,444,,,,124.86,131.52,,,12774,94765,,1595,12595,15283,119689,5233,41521,451,3604,35.31,37.63,4140,32822,,,,,,,1963,15199,9,9,0,0,,,,,,
4/8/2023,V,14,371,395,2.358,2.251,71,70,1145,115,0.630,0.060,0.032,150.43,156.86,1.69,,8183,61474,,1231,9800,9545,77774,3036,24677,313,2569,38.25,41.12,1964,17501,0.022,0.048,,23779,,394,1963,15199,15,14,0,0,,,,,,
4/9/2023,I,11,464,486,1.487,1.470,71,73,1139,148,0.530,0.020,0.042,73.07,82.31,1.45,,2217,19730,,162,1624,2680,24891,1029,9593,72,654,32.48,33.15,1070,9262,0.033,0.042,,2266,,390,0,0,0,0,0,0,,,,,,
4/9/2023,IV,9,546,527,1.401,1.366,74,73,972,159,0.780,0.030,0.042,89.25,85.03,1.52,,2028,17806,,181,1514,2662,22366,1108,9388,51,504,25.15,28.31,955,8084,0.041,0.050,,2649,,396,0,0,0,0,0,0,,,,,,
4/9/2023,TOT,34,425,432,1.963,1.879,72,71,,431,,,,129.62,131.25,,,12583,107348,,1631,14226,15672,135361,5353,46874,468,4072,37.19,37.57,4021,36843,,,,,,,2106,17305,10,9,0,0,,,,,,
4/9/2023,V,14,386,394,2.403,2.269,72,71,1150,124,0.650,0.050,0.033,154.47,156.50,1.69,,8338,69812,,1288,11088,10330,88104,3216,27893,345,2914,41.38,41.13,1996,19497,0.023,0.049,,26039,,401,2106,17305,15,14,0,0,,,,,,
4/10/2023,I,11,453,483,1.478,1.471,73,73,1156,141,0.770,0.040,0.036,81.71,82.25,1.77,,2203,21933,,180,1804,2602,27493,999,10592,68,722,30.87,32.92,961,10223,0.034,0.045,,2447,,393,0,0,0,0,0,0,,,,,,
4/10/2023,IV,6,489,524,0.953,1.325,73,73,909,96,0.730,0.030,0.038,76.09,84.38,,,1380,19186,,105,1619,1509,23875,675,10063,38,542,27.54,28.25,568,8652,0.038,0.049,,1486,,392,0,0,0,0,0,0,,,,,,
4/10/2023,TOT,32,417,431,1.855,1.877,72,71,,361,,,,112.36,129.38,,,11890,119238,,1336,15562,13432,148793,4963,51837,442,4514,37.17,37.53,4265,41108,,,,,,,1034,18339,6,9,0,0,,,,,,
4/10/2023,V,15,396,394,2.394,2.281,71,71,1150,124,0.800,0.030,0.032,126.52,153.35,1.52,,8307,78119,,1051,12139,9321,97425,3289,31182,336,3250,40.45,41.06,2736,22233,0.024,0.041,,18790,,399,1034,18339,8,13,0,0,,,,,,
4/11/2023,I,11,469,481,1.507,1.474,73,73,1135,154,0.670,0.040,0.043,70.76,81.18,1.58,,2247,24180,,159,1963,2849,30342,1053,11645,75,797,33.38,32.96,1061,11284,0.034,0.043,,2901,,391,0,0,0,0,0,0,,,,,,
4/11/2023,IV,10,498,522,1.566,1.347,72,73,967,161,0.730,0.040,0.042,66.17,82.46,1.32,,2267,21453,,150,1769,2622,26497,1128,11191,60,602,26.47,28.06,1038,9690,0.032,0.045,,2751,,381,0,0,0,0,0,0,,,,,,
4/11/2023,TOT,23,470,436,0.813,1.780,72,71,,324,,,,59.32,126.48,,,5209,124447,,309,15871,6049,154842,2447,54284,160,4674,30.72,37.25,2324,43432,,,,,,,67,18406,1,8,0,0,,,,,,
4/11/2023,V,2,383,399,0.200,2.092,66,71,801,9,,,,0.00,152.02,,,695,78814,,,12139,578,98003,266,31448,25,3275,35.97,41.01,225,22458,,,,,,380,67,18406,8,13,0,0,,,,,,
4/12/2023,I,11,460,480,1.579,1.476,72,73,1130,155,0.780,0.040,0.039,82.84,81.74,1.51,,2354,26400,,195,2158,2888,33230,1082,12727,60,857,25.49,32.46,1104,12388,0.032,0.050,,3460,,389,0,0,0,0,0,0,,,,,,
4/12/2023,IV,9,505,519,1.507,1.339,71,73,969,165,0.860,0.050,0.037,93.49,84.80,1.40,,2182,23266,,204,1973,2705,29202,1102,12293,49,651,22.46,27.98,1083,10773,0.032,0.049,,2986,,375,0,0,0,0,0,0,,,,,,
4/12/2023,TOT,34,421,435,1.957,1.762,72,72,,441,,,,107.41,127.05,,,12541,135524,,1347,17218,15758,170600,5284,59568,438,5112,34.93,37.72,5582,49014,,,,,,,459,18865,2,8,0,0,,,,,,
4/12/2023,V,14,387,397,2.307,2.062,73,71,1140,121,0.650,0.030,0.030,118.43,152.43,1.46,,8005,85858,,948,13087,10165,108168,3100,34548,329,3604,41.10,41.98,3395,25853,0.026,0.057,,21966,,395,459,18865,3,12,0,0,,,,,,
